CN100352064C,,未缴年费,,色素敏感型太阳能电池,,,,2003/9/22,2007/11/28,第一工业制药株式会社,,第一工业制药株式会社,,,,,,,
CN100352084C,,未缴年费,,锂离子电池负极材料的制作方法,,,,2004/5/31,2007/11/28,潘树明,,潘树明,,,,,,,
CN100352086C,,放弃-主动放弃 | 权利转移,,锂－二硫化亚铁一次性扣式电池的制备方法,,,,2005/12/14,2007/11/28,山东精工电子科技股份有限公司,,山东精工电子科技股份有限公司,,,,,,,
CN100352087C,,未缴年费,,正极粘合剂及所得正极浆料和锂电池,,,,2004/7/29,2007/11/28,广东风华新能源股份有限公司,,广东风华新能源股份有限公司,,,,,,,
CN100352813C,,未缴年费 | 权利转移,,碳酸亚乙烯酯的制备方法,,,,2005/8/22,2007/12/5,常州储能材料与器件研究院,,常州储能材料与器件研究院,,,,,,,
CN100353593C,,未缴年费 | 权利转移,,以共沉法制备锂钴镍氧化物基正极材料,,,,2004/11/11,2007/12/5,大同股份有限公司 | 大同大学,,大同股份有限公司 | 大同大学,,,,,,,
CN100353594C,,未缴年费,,采用电沉积－浸涂－热处理成型工艺制备掺杂物的金属氧化物电极材料,,,,2005/7/12,2007/12/5,北京航空航天大学,,北京航空航天大学,,,,,,,
CN100353595C,,未缴年费,,一种高容量锡锑镍合金复合物锂离子电池负极材料的制备方法,,,,2005/12/15,2007/12/5,北京科技大学,,北京科技大学,,,,,,,
CN100354239C,,未缴年费,,一种联苯高选择性催化加氢制备环己基苯的方法,,,,2006/1/6,2007/12/12,大连理工大学,,大连理工大学,,,,,,,
CN100355121C,,未缴年费,,球形尖晶石锂锰氧化物锂离子电池正极材料的制备方法,,,,2004/8/31,2007/12/12,中国科学院青海盐湖研究所,,中国科学院青海盐湖研究所,,,,,,,
CN100355122C,,未缴年费,,一种提高磷酸铁锂大电流放电性能的方法,,,,2005/1/12,2007/12/12,中南大学,,中南大学,,,,,,,
CN100355123C,,未缴年费,,锂－硫电池的正极活性物质及其制备方法,,,,2003/4/25,2007/12/12,三星SDI株式会社,,三星SDI株式会社,,,,,,,
CN100355146C,,未缴年费,,一种锂离子二次电池正极材料废料再生的新方法,,,,2004/11/29,2007/12/12,潘树明,,潘树明,,,,,,,
CN100355660C,,未缴年费,,一种(NH4)2V3O8的制备方法,,,,2006/4/11,2007/12/19,华东师范大学,,华东师范大学,,,,,,,
CN100356617C,,未缴年费,,纳米级磷酸亚铁锂/碳复合材料、固相制备方法及应用,,,,2005/7/15,2007/12/19,中国科学院上海微系统与信息技术研究所,,中国科学院上海微系统与信息技术研究所,,,,,,,
CN100359721C,,未缴年费,,锂电池的负极及包含它的锂电池,,,,2003/9/22,2008/1/2,三星SDI株式会社,,三星SDI株式会社,,,,,,,
CN100361893C,,未缴年费,,用磷酸铁制备碳包覆磷酸亚铁锂的方法,,,,2006/3/30,2008/1/16,上海交通大学,,上海交通大学,,,,,,,
CN100362681C,,未缴年费 | 许可,,一种锂离子电池正极材料锂镍钴锰氧及其制备方法,,,,2005/3/23,2008/1/16,中南大学,,中南大学,,,,,,,
CN100362683C,,未缴年费 | 许可,,全固态微型锂电池电解质的制备方法,,,,2006/1/23,2008/1/16,浙江大学,,浙江大学,,,,,,,
CN100364153C,,未缴年费,,一种尖晶石LiMn2O4表面包覆Li4Ti5O12电极材料及其制备方法,,,,2005/5/24,2008/1/23,中国科学院成都有机化学有限公司,,中国科学院成都有机化学有限公司,,,,,,,
CN100364154C,,未缴年费,,一种微米级高功率球形钴酸锂材料的制备方法,,,,2006/4/21,2008/1/23,北京工业大学,,北京工业大学,,,,,,,
CN100365056C,,未缴年费,,一种原位水解法掺杂二氧化钛的多孔复合聚合物电解质的制备方法,,,,2006/8/24,2008/1/30,北京科技大学,,北京科技大学,,,,,,,
